method,split,post_assignment_accuracy,pairwise_precision,pairwise_recall,pairwise_f1,adjusted_rand_index,nmi,false_merge_count,false_merge_rate,false_split_count,false_split_rate,predicted_story_count,gold_story_count,singleton_predicted_count,singleton_predicted_rate,b_cubed
semantic_only,train,0.797979797979798,0.347008547008547,0.7689393939393939,0.47820965842167257,0.46818780401387544,0.9157188177019826,382.0,0.020060917970801385,10.0,0.2857142857142857,81.0,98.0,44.0,0.5432098765432098,0.6411916278244538
semantic_only,dev,0.46923076923076923,0.365156181258249,0.43342036553524804,0.3963705826170009,0.3235348181399169,0.7999589039646101,1443.0,0.08297395204416078,8.0,0.2857142857142857,57.0,73.0,24.0,0.42105263157894735,0.4826847006455191
semantic_only,test,0.609375,0.06722689075630252,0.6114649681528662,0.12113564668769715,0.10646177639491755,0.7919272574538463,2664.0,0.07803392014997511,30.0,0.5555555555555556,95.0,141.0,55.0,0.5789473684210527,0.3660832643000356
semantic_only,all,0.6106442577030813,0.10059648557149767,0.4946492271105826,0.16719137249648336,0.1506645895733812,0.8119677301199476,11158.0,0.05239161771679978,53.0,0.44166666666666665,195.0,300.0,123.0,0.6307692307692307,0.38512649428831147
semantic_time,train,0.797979797979798,0.3069908814589666,0.7651515151515151,0.43817787418655096,0.4269939083378923,0.9159531136803358,456.0,0.02394706438399328,8.0,0.22857142857142856,84.0,98.0,52.0,0.6190476190476191,0.67148834245281
semantic_time,dev,0.43846153846153846,0.2841207349081365,0.6783289817232376,0.40049329428086944,0.30304518460703106,0.7518010342951366,3273.0,0.1882007935138865,8.0,0.2857142857142857,52.0,73.0,24.0,0.46153846153846156,0.45159883634636544
semantic_time,test,0.5703125,0.1018957345971564,0.5477707006369427,0.1718281718281718,0.1589014666337588,0.8081455400331836,1516.0,0.044406690295556404,29.0,0.5370370370370371,91.0,141.0,56.0,0.6153846153846154,0.3744004739124053
semantic_time,all,0.5854341736694678,0.16366104324219508,0.6690447879508522,0.2629897951234712,0.24885812163181942,0.8486912517284362,8626.0,0.040502786738225036,53.0,0.44166666666666665,220.0,300.0,132.0,0.6,0.45979981715771356
hybrid_graph_v1_entity,train,1.0,0.013957176843774783,1.0,0.02753011105897075,0.0005730167625555461,0.029308346454763094,18651.0,0.9794664426005671,0.0,0.0,3.0,98.0,2.0,0.6666666666666666,0.028973057399453273
hybrid_graph_v1_entity,dev,1.0,0.09919196104837874,1.0,0.18048159841666275,0.0,0.0,17391.0,1.0,0.0,0.0,1.0,73.0,0.0,0.0,0.10376459068772736
hybrid_graph_v1_entity,test,1.0,0.00911386526572432,1.0,0.018063105818736158,0.0,0.0,34139.0,1.0,0.0,0.0,1.0,141.0,0.0,0.0,0.012881493154447808
hybrid_graph_v1_entity,all,1.0,0.011779536382099587,1.0,0.02328478874799269,0.000145012301901737,0.008667613159169679,211662.0,0.993844290121283,0.0,0.0,3.0,300.0,2.0,0.6666666666666666,0.016291958590400345
hybrid_v4_1_soft_entity_penalty,train,0.7676767676767676,0.7679324894514767,0.6893939393939394,0.7265469061876247,0.7229627208900649,0.958858338689119,55.0,0.002888352063858838,10.0,0.2857142857142857,101.0,98.0,63.0,0.6237623762376238,0.7906645212905787
hybrid_v4_1_soft_entity_penalty,dev,0.6,0.4916573971078977,0.2308093994778068,0.3141435678749112,0.2677336102721972,0.8040652364156841,457.0,0.026277959864297627,9.0,0.32142857142857145,67.0,73.0,36.0,0.5373134328358209,0.46813260414148755
hybrid_v4_1_soft_entity_penalty,test,0.546875,0.18296892980437285,0.5063694267515924,0.2688081149619611,0.2588848792953635,0.8763853396049572,710.0,0.02079732856849937,27.0,0.5,122.0,141.0,84.0,0.6885245901639344,0.5107895718429227
hybrid_v4_1_soft_entity_penalty,all,0.6274509803921569,0.289082335872325,0.3158937772493064,0.30189393939393944,0.2932527201906761,0.8957256659062831,1960.0,0.009203044517380137,51.0,0.425,281.0,300.0,183.0,0.6512455516014235,0.55628193316237
deepseek_chat_llm,train,0.6565656565656566,0.38666666666666666,0.5492424242424242,0.4538341158059468,0.44492522737918766,0.930838209010313,230.0,0.01207856317613696,18.0,0.5142857142857142,109.0,98.0,70.0,0.6422018348623854,0.6739778527463365
deepseek_chat_llm,dev,0.3769230769230769,0.509825327510917,0.24386422976501307,0.3299187566231014,0.2839564841781746,0.8376502526939171,449.0,0.025817951814156748,11.0,0.39285714285714285,93.0,73.0,50.0,0.5376344086021505,0.5380352778449226
deepseek_chat_llm,test,0.6015625,0.19659936238044634,0.589171974522293,0.2948207171314741,0.2850493675289847,0.8706836522575482,756.0,0.022144761123641582,26.0,0.48148148148148145,113.0,141.0,64.0,0.5663716814159292,0.49268577324660984
deepseek_chat_llm,all,0.5350140056022409,0.19047619047619047,0.3218390804597701,0.2393162393162393,0.2279596078455525,0.8758012880785528,3451.0,0.016203931953815743,60.0,0.5,282.0,300.0,184.0,0.6524822695035462,0.4871958518764151
