iter	Passed	Remaining
0	185	18348
1	215	10540
2	245	7936
3	280	6724
4	314	5975
5	348	5461
6	384	5106
7	419	4822
8	455	4600
9	483	4349
10	506	4101
11	544	3989
12	581	3890
13	616	3786
14	651	3692
15	691	3630
16	727	3551
17	762	3474
18	797	3401
19	832	3329
20	867	3264
21	912	3233
22	947	3172
23	981	3109
24	1017	3051
25	1052	2996
26	1070	2895
27	1127	2900
28	1141	2794
29	1176	2744
30	1212	2698
31	1247	2651
32	1283	2605
33	1345	2611
34	1378	2560
35	1412	2511
36	1448	2465
37	1483	2420
38	1519	2376
39	1535	2303
40	1580	2273
41	1618	2234
42	1655	2194
43	1692	2153
44	1726	2109
45	1762	2068
46	1796	2025
47	1809	1959
48	1843	1919
49	1878	1878
50	1913	1838
51	1949	1799
52	1984	1760
53	2024	1724
54	2058	1683
55	2093	1644
56	2127	1605
57	2162	1566
58	2199	1528
59	2243	1495
60	2293	1466
61	2333	1430
62	2378	1396
63	2416	1359
64	2452	1320
65	2487	1281
66	2525	1244
67	2560	1204
68	2594	1165
69	2643	1132
70	2691	1099
71	2727	1060
72	2762	1021
73	2797	983
74	2832	944
75	2866	905
76	2901	866
77	2936	828
78	2971	789
79	3006	751
80	3041	713
81	3076	675
82	3122	639
83	3157	601
84	3192	563
85	3226	525
86	3291	491
87	3325	453
88	3361	415
89	3396	377
90	3430	339
91	3466	301
92	3529	265
93	3565	227
94	3600	189
95	3635	151
96	3671	113
97	3705	75
98	3740	37
99	3774	0
