user_id,timestamp,action_type,user_message_length,bot_response_length,processing_time_sec,user_message,bot_response,full_action
138849259,2025-03-29 19:30:03,/start command,0,0,0.0,,,/start command: 
138849259,2025-03-29 19:30:14,text,9,35,0.82,как дела?,У меня всё хорошо. А как ваши дела?,text: как дела?
138849259,2025-03-29 19:30:31,text,23,395,2.78,есть ли жизнь на марсе?,"На данный момент нет однозначных доказательств существования жизни на Марсе. Однако учёные продолжают исследовать планету, чтобы найти ответы на этот вопрос.

Исследования показывают, что в прошлом на",text: есть ли жизнь на марсе?
138849259,2025-03-29 19:30:45,command,5,0,0.0,/help,,command: /help
138849259,2025-03-29 19:30:49,command,5,96,0.83,/joke,"Филипп Киркоров настолько популярен, что даже его тень мечтает о славе и выступает на концертах.",command: /joke
138849259,2025-03-29 19:31:03,command,7,0,0.0,/backup,,command: /backup
138849259,2025-03-29 19:31:15,text,5,47,0.59,test1,"Пожалуйста, уточните запрос. Что нужно сделать?",text: test1
138849259,2025-03-29 19:31:22,text,5,47,0.65,test2,"Пожалуйста, уточните запрос. Что нужно сделать?",text: test2
138849259,2025-03-29 19:31:27,text,5,62,0.7,test3,"Пожалуйста, уточните запрос. Что нужно сделать с тестом test3?",text: test3
138849259,2025-03-29 19:31:31,text,5,47,0.6,test4,"Пожалуйста, уточните запрос. Что нужно сделать?",text: test4
138849259,2025-03-29 19:31:35,text,5,47,0.63,test5,"Пожалуйста, уточните запрос. Что нужно сделать?",text: test5
138849259,2025-03-29 19:31:56,text,5,70,0.75,test6,"Пожалуйста, уточните запрос. Что нужно сделать с тестом или для теста?",text: test6
601315748,2025-03-29 19:34:32,command,5,0,0.0,/help,,command: /help
601315748,2025-03-29 19:34:44,command,5,162,2.34,/joke,"Встречаются два певца. Один говорит:
— Представляешь, Филипп Киркоров решил сменить имидж!
— Да ладно? И что же он сделал?
— Перекрасил волосы в натуральный цвет.",command: /joke
601315748,2025-03-29 19:42:30,text,62,176,3.08,Расскажи анекдот про вовочку но такой чтобы он был не похабным,"— Вовочка, ты почему опоздал в школу?  
— Я хотел, чтобы вы обратили внимание на мои новые часы.  
— Но почему ты тогда не пришёл вовремя?  
— Потому что часы ещё не настроены.",text: Расскажи анекдот про вовочку но такой чтобы он был
601315748,2025-03-29 19:43:13,text,68,383,3.39,Можешь написать гибрид анекдота про вовочку и Петьку и васильиваныча,"Васильиваныч говорит Петьке и Вовочке:
— Завтра у нас контрольная по математике. Нужно подготовиться!
Петька отвечает:
— Не волнуйтесь, Васильиваныч, я всю ночь буду решать задачи!
Вовочка добавляет:
",text: Можешь написать гибрид анекдота про вовочку и Петь
138849259,2025-03-29 19:44:03,text,24,293,2.61,есть ли жизнь на венере?,"На данный момент нет научных доказательств существования жизни на Венере. Венера — это чрезвычайно враждебная среда с экстремальными условиями: очень высокая температура поверхности (около 460 °C), ат",text: есть ли жизнь на венере?
