iter	Logloss
0	0.6184967755
1	0.5690131184
2	0.5337398853
3	0.5083776421
4	0.4918589262
5	0.4756777935
6	0.4626508774
7	0.4532982003
8	0.444953416
9	0.4389795679
10	0.4333633361
11	0.427424377
12	0.4231031061
13	0.4210817408
14	0.4175594566
15	0.4151234389
16	0.412894573
17	0.4111633533
18	0.408620957
19	0.4065803998
20	0.4044206626
21	0.4040398408
22	0.4028579517
23	0.4020126707
24	0.4010237565
25	0.39951172
26	0.3991697329
27	0.3989155044
28	0.3972314886
29	0.3968820867
30	0.3968817307
31	0.3965091784
32	0.3963941562
33	0.3959474901
34	0.395501333
35	0.3948263183
36	0.3942128221
37	0.3939533236
38	0.3937528007
39	0.3931298436
40	0.3931296689
41	0.3923006759
42	0.3917014486
43	0.3916640099
44	0.390946309
45	0.3904814207
46	0.3898999071
47	0.3898534474
48	0.3896000611
49	0.3889438524
50	0.3883538711
51	0.3882729062
52	0.3877280997
53	0.3872226634
54	0.3868506667
55	0.3867313619
56	0.3864072721
57	0.3863549131
58	0.3861903814
59	0.3861628727
60	0.3861177826
61	0.3859890922
62	0.3855903843
63	0.3854301922
64	0.3852012964
65	0.3848938035
66	0.3848556867
67	0.3848265868
68	0.3842148344
69	0.3839574303
