iter	Passed	Remaining
0	37	2609
1	74	2520
2	108	2429
3	148	2453
4	189	2464
5	228	2432
6	269	2426
7	309	2396
8	348	2363
9	390	2344
10	413	2218
11	452	2187
12	492	2158
13	509	2039
14	548	2012
15	587	1982
16	627	1955
17	668	1930
18	707	1898
19	746	1866
20	785	1832
21	798	1741
22	836	1709
23	875	1677
24	915	1648
25	955	1616
26	998	1589
27	1044	1567
28	1097	1551
29	1145	1527
30	1159	1458
31	1177	1398
32	1204	1350
33	1254	1328
34	1299	1299
35	1355	1280
36	1397	1246
37	1437	1210
38	1476	1173
39	1517	1138
40	1530	1082
41	1569	1046
42	1608	1010
43	1648	974
44	1690	938
45	1732	903
46	1788	875
47	1829	838
48	1868	800
49	1913	765
50	1958	729
51	1998	691
52	2040	654
53	2103	623
54	2145	585
55	2184	546
56	2225	507
57	2267	469
58	2305	429
59	2346	391
60	2384	351
61	2423	312
62	2462	273
63	2501	234
64	2540	195
65	2580	156
66	2621	117
67	2661	78
68	2699	39
69	2739	0
